City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lichinga,MZ,67.42,scattered clouds,-13.3128,35.2406,Residencial Bendiak
1,Syracuse,IT,67.59,clear sky,37.0881,15.2792,Hotel Posta
2,Nador,MA,62.85,broken clouds,35.174,-2.9287,Hôtel La Giralda
3,Naze,JP,70.72,broken clouds,28.3667,129.4833,Shishime Hotel
4,Bredasdorp,ZA,58.08,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
5,Mar Del Plata,AR,66.22,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,Ushuaia,AR,62.26,scattered clouds,-54.8,-68.3,Albatross Hotel
7,Rabo De Peixe,PT,61.29,broken clouds,37.8,-25.5833,Quinta das Giestas
9,Kaitangata,NZ,54.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
10,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
11,Cachoeira Do Sul,BR,88.32,clear sky,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
13,Mazatlan,MX,82.36,scattered clouds,23.2167,-106.4167,Hotel La Siesta
14,Cidreira,BR,72.28,clear sky,-30.1811,-50.2056,Hotel Castelo
15,Punta Arenas,CL,60.91,broken clouds,-53.15,-70.9167,Hotel Hain
18,Sinnamary,GF,82.49,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,Bonga,ET,58.62,clear sky,7.2833,36.2333,Abelena bare and restorant
20,Sao Filipe,CV,81.45,overcast clouds,14.8961,-24.4956,Hotel Xaguate
21,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Atuona,PF,77.31,clear sky,-9.8,-139.0333,Villa Enata
23,Guerrero Negro,MX,69.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
26,Corinto,GR,69.89,broken clouds,37.9407,22.9573,Ephira Hotel
27,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
28,Chipinge,ZW,64.85,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
29,Port Alfred,ZA,63.18,light rain,-33.5906,26.891,The Halyards Hotel & Spa
30,Hobart,AU,53.46,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
31,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
32,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
33,Hilo,US,80.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
34,Hualmay,PE,69.82,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
35,Muros,ES,51.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
36,Itarema,BR,83.52,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
37,Hermanus,ZA,60.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
42,Fortuna,US,52.99,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
46,Butaritari,KI,80.98,clear sky,3.0707,172.7902,Isles Sunset Lodge
47,Mana,GF,83.5,scattered clouds,5.6592,-53.7767,LE SAMANA
48,Waingapu,ID,77.58,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
49,Gra Liyia,GR,69.13,clear sky,35.0167,25.6833,Diktynna Traditional Villas
51,Cape Town,ZA,64.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
52,Busselton,AU,53.55,overcast clouds,-33.65,115.3333,Observatory Guest House
54,New Norfolk,AU,53.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
56,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
60,Fontanka,UA,51.42,overcast clouds,46.5626,30.8607,Villa Lavender Hotel
61,Tuatapere,NZ,54.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
