City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lichinga,MZ,-13.3128,35.2406,67.42,67,29,6.58,scattered clouds
1,Syracuse,IT,37.0881,15.2792,67.59,72,0,21.99,clear sky
2,Nador,MA,35.174,-2.9287,62.85,72,75,20.71,broken clouds
3,Naze,JP,28.3667,129.4833,70.72,89,82,8.81,broken clouds
4,Bredasdorp,ZA,-34.5322,20.0403,58.08,75,85,5.88,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,66.22,92,0,18.41,moderate rain
6,Ushuaia,AR,-54.8,-68.3,62.26,31,40,6.91,scattered clouds
7,Rabo De Peixe,PT,37.8,-25.5833,61.29,97,81,3.24,broken clouds
8,Provideniya,RU,64.3833,-173.3,30.4,95,94,5.44,light snow
9,Kaitangata,NZ,-46.2817,169.8464,54.0,95,100,11.1,overcast clouds
10,Cabo San Lucas,MX,22.8909,-109.9124,83.61,55,20,11.5,few clouds
11,Cachoeira Do Sul,BR,-30.0392,-52.8939,88.32,28,5,9.51,clear sky
12,Balkhash,KZ,46.844,74.9804,28.72,75,100,12.86,overcast clouds
13,Mazatlan,MX,23.2167,-106.4167,82.36,70,40,5.99,scattered clouds
14,Cidreira,BR,-30.1811,-50.2056,72.28,68,7,15.1,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,60.91,33,75,25.32,broken clouds
16,Albany,US,42.6001,-73.9662,41.34,47,100,7.0,overcast clouds
17,Berlevag,NO,70.8578,29.0864,37.4,74,91,18.41,overcast clouds
18,Sinnamary,GF,5.3833,-52.95,82.49,69,42,10.71,scattered clouds
19,Bonga,ET,7.2833,36.2333,58.62,91,7,1.48,clear sky
20,Sao Filipe,CV,14.8961,-24.4956,81.45,58,100,10.63,overcast clouds
21,Vaini,TO,-21.2,-175.2,78.96,78,20,5.75,few clouds
22,Atuona,PF,-9.8,-139.0333,77.31,73,4,9.78,clear sky
23,Guerrero Negro,MX,27.9769,-114.0611,69.76,36,0,8.12,clear sky
24,Saskylakh,RU,71.9167,114.0833,-31.56,97,24,7.34,few clouds
25,Shelabolikha,RU,53.4131,82.6167,7.84,97,55,3.15,broken clouds
26,Corinto,GR,37.9407,22.9573,69.89,75,80,6.35,broken clouds
27,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,53,0,16.11,clear sky
28,Chipinge,ZW,-20.1883,32.6236,64.85,61,0,5.21,clear sky
29,Port Alfred,ZA,-33.5906,26.891,63.18,93,100,1.99,light rain
30,Hobart,AU,-42.8794,147.3294,53.46,87,0,6.91,clear sky
31,Mataura,NZ,-46.1927,168.8643,58.48,83,99,8.52,overcast clouds
32,Kruisfontein,ZA,-34.0033,24.7314,62.89,86,85,6.69,overcast clouds
33,Hilo,US,19.7297,-155.09,80.11,78,0,5.99,clear sky
34,Hualmay,PE,-11.0964,-77.6139,69.82,69,43,8.12,scattered clouds
35,Muros,ES,42.7762,-9.0603,51.1,93,100,13.24,overcast clouds
36,Itarema,BR,-2.9248,-39.9167,83.52,62,19,16.08,few clouds
37,Hermanus,ZA,-34.4187,19.2345,60.8,75,33,12.71,scattered clouds
38,Thompson,CA,55.7435,-97.8558,10.56,72,75,18.41,light snow
39,Alofi,NU,-19.0595,-169.9187,78.69,78,40,8.05,scattered clouds
40,Khatanga,RU,71.9667,102.5,-23.33,91,95,6.11,overcast clouds
41,Barraute,CA,48.4335,-77.6328,21.47,65,100,8.05,overcast clouds
42,Fortuna,US,40.5982,-124.1573,52.99,88,20,5.75,few clouds
43,Bethel,US,41.3712,-73.414,43.36,45,75,9.22,broken clouds
44,Jamestown,US,42.097,-79.2353,33.03,56,75,18.41,broken clouds
45,Chokurdakh,RU,70.6333,147.9167,-4.94,98,100,7.56,overcast clouds
46,Butaritari,KI,3.0707,172.7902,80.98,76,0,20.11,clear sky
47,Mana,GF,5.6592,-53.7767,83.5,68,26,10.58,scattered clouds
48,Waingapu,ID,-9.6567,120.2641,77.58,80,100,5.26,heavy intensity rain
49,Gra Liyia,GR,35.0167,25.6833,69.13,82,5,1.99,clear sky
50,Barrow,US,71.2906,-156.7887,32.02,86,20,26.46,few clouds
51,Cape Town,ZA,-33.9258,18.4232,64.11,62,40,5.75,scattered clouds
52,Busselton,AU,-33.65,115.3333,53.55,68,100,6.53,overcast clouds
53,Troitsk,RU,54.0979,61.5773,20.98,95,100,8.23,light snow
54,New Norfolk,AU,-42.7826,147.0587,53.1,71,99,2.84,overcast clouds
55,Den Helder,NL,52.9599,4.7593,44.02,94,100,18.99,mist
56,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,69,5.99,broken clouds
57,Lasa,IT,46.6166,10.7002,41.88,93,40,5.75,scattered clouds
58,Avarua,CK,-21.2078,-159.775,77.05,69,20,10.36,few clouds
59,Urucurituba,BR,-2.6833,-57.6667,98.58,26,100,2.42,moderate rain
60,Fontanka,UA,46.5626,30.8607,51.42,87,100,18.16,overcast clouds
61,Tuatapere,NZ,-46.1333,167.6833,54.81,91,100,4.07,overcast clouds
62,Bluff,NZ,-46.6,168.3333,58.8,86,100,17.34,overcast clouds
63,Bengkulu,ID,-3.8004,102.2655,75.18,91,100,7.56,overcast clouds
64,Saint-Francois,FR,46.4154,3.9054,42.24,93,75,2.3,mist
65,Alibag,IN,18.6411,72.8792,78.87,59,0,5.59,clear sky
66,Chapais,CA,49.7834,-74.8492,15.58,81,100,8.39,overcast clouds
67,Qaanaaq,GL,77.484,-69.3632,-7.73,56,17,7.54,few clouds
68,Aklavik,CA,68.2191,-135.0107,15.8,86,75,2.3,broken clouds
69,Rikitea,PF,-23.1203,-134.9692,71.38,69,18,12.33,few clouds
70,Kaeo,NZ,-35.1,173.7833,64.33,97,39,12.8,scattered clouds
71,Nikolskoye,RU,59.7035,30.7861,28.29,64,16,9.13,few clouds
72,Upernavik,GL,72.7868,-56.1549,7.25,92,66,15.48,broken clouds
73,Riberalta,BO,-10.9833,-66.1,93.4,55,75,11.5,broken clouds
74,Shakawe,BW,-18.3667,21.85,84.72,21,42,5.23,scattered clouds
75,Chuy,UY,-33.6971,-53.4616,75.34,54,7,11.83,clear sky
76,Adiake,CI,5.2863,-3.304,79.81,78,91,8.39,overcast clouds
77,Tasiilaq,GL,65.6145,-37.6368,41.16,78,100,26.19,overcast clouds
78,Yellowknife,CA,62.456,-114.3525,21.72,86,75,4.61,light snow
79,Quatre Cocos,MU,-20.2078,57.7625,69.1,72,13,5.73,few clouds
80,Pevek,RU,69.7008,170.3133,-22.04,100,59,4.9,broken clouds
81,Zhanaozen,KZ,43.3,52.8,47.25,61,83,6.49,broken clouds
82,Nanortalik,GL,60.1432,-45.2371,26.87,90,100,7.74,overcast clouds
83,Taltal,CL,-25.4,-70.4833,65.59,75,45,5.17,scattered clouds
84,Narsaq,GL,60.9167,-46.05,21.42,87,98,1.88,overcast clouds
85,Miura,JP,35.14,139.6192,53.58,56,0,7.9,clear sky
86,Dunedin,NZ,-45.8742,170.5036,52.81,94,100,1.99,overcast clouds
87,San Cristobal,VE,7.7669,-72.225,73.58,71,48,5.23,scattered clouds
88,Matveyevka,RU,52.15,56.1833,29.35,81,100,8.97,overcast clouds
89,Harper,LR,4.375,-7.7169,78.8,79,1,5.12,clear sky
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,62,0,17.27,clear sky
91,Saint-Philippe,RE,-21.3585,55.7679,71.19,70,14,5.55,few clouds
