City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-11-15 21:59:48,22.0752,-159.319,82.38,61,0,1.99
1,Mataura,NZ,2022-11-15 21:59:49,-46.1927,168.8643,67.39,50,100,3.4
2,La Ronge,CA,2022-11-15 21:59:49,55.1001,-105.2842,26.85,80,100,5.75
3,Egvekinot,RU,2022-11-15 21:59:50,66.3167,-179.1667,25.52,97,100,20.27
4,Puebloviejo,CO,2022-11-15 21:59:50,10.9938,-74.2844,89.78,66,40,3.44
5,Los Llanos De Aridane,ES,2022-11-15 21:59:51,28.6585,-17.9182,73.13,27,0,6.91
6,Vaini,TO,2022-11-15 21:59:51,-21.2,-175.2,77.16,94,40,8.05
7,Rikitea,PF,2022-11-15 21:59:51,-23.1203,-134.9692,74.95,81,100,16.98
8,Bull Savanna,JM,2022-11-15 21:59:52,17.8868,-77.5902,79.52,79,41,6.24
9,Tamandare,BR,2022-11-15 21:59:52,-8.7597,-35.1047,77.43,82,21,7.83
10,Hay River,CA,2022-11-15 21:56:02,60.8156,-115.7999,24.78,74,40,25.32
11,Muros,ES,2022-11-15 21:59:53,42.7762,-9.0603,58.08,88,100,16.42
12,Newport,GB,2022-11-15 21:58:45,51.5877,-2.9984,48.74,88,37,11.12
13,Guerrero Negro,MX,2022-11-15 21:59:54,27.9769,-114.0611,73.67,26,13,7.16
14,Tabou,CI,2022-11-15 21:59:54,4.423,-7.3528,77.94,84,3,5.17
15,Parnaiba,BR,2022-11-15 21:59:54,-2.9047,-41.7767,82.35,78,0,12.66
16,Ushuaia,AR,2022-11-15 21:55:21,-54.8,-68.3,60.42,66,100,12.66
17,Puerto Ayora,EC,2022-11-15 21:59:55,-0.7393,-90.3518,70.56,86,67,5.01
18,Tasiilaq,GL,2022-11-15 21:59:55,65.6145,-37.6368,21.4,62,33,6.11
19,Boulder City,US,2022-11-15 21:59:56,35.9786,-114.8325,59.29,18,0,12.66
20,Lebu,CL,2022-11-15 21:59:56,-37.6167,-73.65,60.57,81,37,8.41
21,Lompoc,US,2022-11-15 21:59:57,34.6391,-120.4579,71.69,61,0,5.01
22,Burns Lake,CA,2022-11-15 21:55:06,54.2331,-125.7533,26.02,75,97,0.94
23,Yellowknife,CA,2022-11-15 21:55:09,62.456,-114.3525,23.52,80,100,20.71
24,Ponta Do Sol,PT,2022-11-15 21:59:58,32.6667,-17.1,68.72,60,100,5.61
25,Barrow,US,2022-11-15 21:59:58,71.2906,-156.7887,21.22,86,100,17.27
26,Iqaluit,CA,2022-11-15 21:59:58,63.7506,-68.5145,-0.31,77,20,11.5
27,Lavrentiya,RU,2022-11-15 21:59:59,65.5833,-171.0,29.97,83,100,30.98
28,Jamestown,US,2022-11-15 21:59:16,42.097,-79.2353,33.71,77,100,8.05
29,Atuona,PF,2022-11-15 21:59:59,-9.8,-139.0333,77.72,71,5,15.61
30,Kodiak,US,2022-11-15 22:00:00,57.79,-152.4072,41.81,89,93,15.77
31,Provideniya,RU,2022-11-15 22:00:00,64.3833,-173.3,32.36,86,100,35.99
32,Castro,BR,2022-11-15 21:57:45,-24.7911,-50.0119,61.27,66,0,4.05
33,Bergerac,FR,2022-11-15 22:00:05,44.8333,0.5,55.78,94,0,8.05
34,Paita,PE,2022-11-15 22:00:07,-5.0892,-81.1144,64.2,82,100,17.34
35,Qaanaaq,GL,2022-11-15 22:00:08,77.484,-69.3632,-3.75,74,7,7.23
36,Norman Wells,CA,2022-11-15 22:00:08,65.282,-126.8329,9.95,96,81,2.37
37,Pisco,PE,2022-11-15 22:00:10,-13.7,-76.2167,68.07,70,14,8.14
38,Taoudenni,ML,2022-11-15 22:00:10,22.6783,-3.9836,78.98,13,80,11.72
39,Sao Joao Da Barra,BR,2022-11-15 22:00:12,-21.6403,-41.0511,74.07,94,100,13.15
